person,dept,eow,cause,cause_short,date,year,canine,dept_name,state
eow: tuesday, april 27,1858,cause of death: gunfire,gunfire,1858-04-27,1858,False,sacramento police department, ca
eow: wednesday, may 5,1858,cause of death: gunfire (accidental),gunfire (accidental),1858-05-05,1858,False,texas rangers, tx
eow: wednesday, may 12,1858,cause of death: stabbed,stabbed,1858-05-12,1858,False,texas rangers, tx
eow: wednesday, may 12,1858,cause of death: gunfire,gunfire,1858-05-12,1858,False,texas rangers, tx
eow: saturday, july 10,1858,cause of death: stabbed,stabbed,1858-07-10,1858,False,lexington police department, ky
eow: tuesday, august 3,1858,cause of death: stabbed,stabbed,1858-08-03,1858,False,campbell county sheriff's office, tn
eow: tuesday, august 17,1858,cause of death: gunfire,gunfire,1858-08-17,1858,False,louisville police department, ky
eow: wednesday, september 22,1858,cause of death: gunfire,gunfire,1858-09-22,1858,False,baltimore city police department, md
eow: monday, october 18,1858,cause of death: gunfire,gunfire,1858-10-18,1858,False,salt lake city police department, ut
eow: monday, november 8,1858,cause of death: gunfire,gunfire,1858-11-08,1858,False,baltimore city police department, md
eow: friday, november 26,1858,cause of death: gunfire,gunfire,1858-11-26,1858,False,columbia police department, ca
eow: monday, november 29,1858,cause of death: gunfire,gunfire,1858-11-29,1858,False,columbia police department, ca
eow: tuesday, january 11,1859,cause of death: gunfire,gunfire,1859-01-11,1859,False,henderson county sheriff's office, il
eow: monday, july 11,1859,cause of death: gunfire,gunfire,1859-07-11,1859,False,placer county sheriff's department, ca
eow: wednesday, september 28,1859,cause of death: gunfire,gunfire,1859-09-28,1859,False,cameron county sheriff's office, tx
eow: wednesday, september 28,1859,cause of death: gunfire,gunfire,1859-09-28,1859,False,cameron county constable's office - precinct 2, tx
eow: wednesday, november 16,1859,cause of death: gunfire,gunfire,1859-11-16,1859,False,texas rangers, tx
eow: wednesday, december 14,1859,cause of death: gunfire,gunfire,1859-12-14,1859,False,texas rangers, tx
eow: tuesday, december 20,1859,cause of death: structure collapse,structure collapse,1859-12-20,1859,False,new york metropolitan police force, ny
eow: saturday, february 4,1860,cause of death: gunfire,gunfire,1860-02-04,1860,False,texas rangers, tx
eow: sunday, february 19,1860,cause of death: assault,assault,1860-02-19,1860,False,mason county sheriff's department, tx
eow: saturday, march 10,1860,cause of death: gunfire,gunfire,1860-03-10,1860,False,houston police department, tx
eow: friday, april 20,1860,cause of death: gunfire,gunfire,1860-04-20,1860,False,united states department of justice - united states marshals service, us
eow: saturday, may 5,1860,cause of death: stabbed,stabbed,1860-05-05,1860,False,memphis police department, tn
eow: monday, may 7,1860,cause of death: gunfire,gunfire,1860-05-07,1860,False,springville police department, ut
eow: tuesday, june 26,1860,cause of death: stabbed,stabbed,1860-06-26,1860,False,cambridge police department, ma
eow: monday, july 2,1860,cause of death: gunfire,gunfire,1860-07-02,1860,False,collin county sheriff's office, tx
eow: thursday, july 26,1860,cause of death: gunfire,gunfire,1860-07-26,1860,False,amador county constable's office, ca
eow: wednesday, august 15,1860,cause of death: gunfire,gunfire,1860-08-15,1860,False,nueces county sheriff's office, tx
eow: wednesday, january 9,1861,cause of death: stabbed,stabbed,1861-01-09,1861,False,cincinnati police department, oh
eow: thursday, january 10,1861,cause of death: stabbed,stabbed,1861-01-10,1861,False,cincinnati police department, oh
eow: thursday, june 6,1861,cause of death: gunfire,gunfire,1861-06-06,1861,False,brown county sheriff's department, tx
eow: tuesday, june 11,1861,cause of death: stabbed,stabbed,1861-06-11,1861,False,cincinnati police department, oh
eow: monday, june 17,1861,cause of death: gunfire,gunfire,1861-06-17,1861,False,st. louis metropolitan police department, mo
eow: thursday, july 11,1861,cause of death: assault,assault,1861-07-11,1861,False,new york state department of correctional services, ny
eow: tuesday, august 6,1861,cause of death: stabbed,stabbed,1861-08-06,1861,False,new york metropolitan police force, ny
eow: saturday, august 24,1861,cause of death: stabbed,stabbed,1861-08-24,1861,False,tarrant county sheriff's department, tx
eow: thursday, november 28,1861,cause of death: stabbed,stabbed,1861-11-28,1861,False,carson county sheriff's office, nv
eow: tuesday, december 24,1861,cause of death: gunfire,gunfire,1861-12-24,1861,False,st. louis metropolitan police department, mo
eow: tuesday, december 31,1861,cause of death: stabbed,stabbed,1861-12-31,1861,False,memphis police department, tn
eow: thursday, january 16,1862,cause of death: gunfire,gunfire,1862-01-16,1862,False,louisville police department, ky
eow: thursday, march 27,1862,cause of death: stabbed,stabbed,1862-03-27,1862,False,connecticut department of correction, ct
eow: saturday, april 5,1862,cause of death: gunfire,gunfire,1862-04-05,1862,False,mono county sheriff's office, ca
eow: monday, april 14,1862,cause of death: gunfire,gunfire,1862-04-14,1862,False,evansville police department, in
eow: tuesday, october 14,1862,cause of death: gunfire,gunfire,1862-10-14,1862,False,new york metropolitan police force, ny
eow: thursday, october 23,1862,cause of death: stabbed,stabbed,1862-10-23,1862,False,santa clara county sheriff's office, ca
eow: friday, april 10,1863,cause of death: assault,assault,1863-04-10,1863,False,st. louis metropolitan police department, mo
eow: sunday, april 12,1863,cause of death: gunfire,gunfire,1863-04-12,1863,False,virginia city police department, nv
eow: thursday, may 14,1863,cause of death: stabbed,stabbed,1863-05-14,1863,False,maine department of corrections, me
eow: monday, june 29,1863,cause of death: gunfire,gunfire,1863-06-29,1863,False,bannock county sheriff's department, id
eow: sunday, july 19,1863,cause of death: gunfire,gunfire,1863-07-19,1863,False,new york metropolitan police force, ny
eow: sunday, august 9,1863,cause of death: assault,assault,1863-08-09,1863,False,new york metropolitan police force, ny
eow: wednesday, september 9,1863,cause of death: gunfire,gunfire,1863-09-09,1863,False,wilmington police department, de
eow: friday, october 23,1863,cause of death: drowned,drowned,1863-10-23,1863,False,mendocino county sheriff's office, ca
eow: saturday, november 7,1863,cause of death: assault,assault,1863-11-07,1863,False,new york metropolitan police force, ny
eow: wednesday, december 16,1863,cause of death: drowned,drowned,1863-12-16,1863,False,united states department of the treasury - customs service, us
eow: wednesday, january 20,1864,cause of death: assault,assault,1864-01-20,1864,False,new york metropolitan police force, ny
eow: saturday, february 6,1864,cause of death: animal related,animal related,1864-02-06,1864,False,new york metropolitan police force, ny
eow: monday, may 2,1864,cause of death: gunfire,gunfire,1864-05-02,1864,False,united states army criminal investigation division, us
eow: sunday, may 8,1864,cause of death: assault,assault,1864-05-08,1864,False,illinois department of corrections, il
eow: monday, may 16,1864,cause of death: gunfire,gunfire,1864-05-16,1864,False,new york metropolitan police force, ny
eow: wednesday, may 25,1864,cause of death: gunfire,gunfire,1864-05-25,1864,False,san diego county sheriff's department, ca
eow: friday, july 1,1864,cause of death: gunfire,gunfire,1864-07-01,1864,False,el dorado county sheriff's department, ca
eow: thursday, august 25,1864,cause of death: gunfire,gunfire,1864-08-25,1864,False,new york metropolitan police force, ny
eow: wednesday, september 14,1864,cause of death: gunfire,gunfire,1864-09-14,1864,False,saginaw police department, mi
eow: thursday, september 15,1864,cause of death: assault,assault,1864-09-15,1864,False,young county sheriff's office, tx
eow: tuesday, september 20,1864,cause of death: gunfire,gunfire,1864-09-20,1864,False,chariton county sheriff's department, mo
eow: saturday, october 1,1864,cause of death: gunfire,gunfire,1864-10-01,1864,False,united states army criminal investigation division, us
eow: thursday, october 6,1864,cause of death: gunfire,gunfire,1864-10-06,1864,False,new york metropolitan police force, ny
eow: monday, october 31,1864,cause of death: gunfire,gunfire,1864-10-31,1864,False,united states army criminal investigation division, us
eow: monday, november 7,1864,cause of death: gunfire,gunfire,1864-11-07,1864,False,new york metropolitan police force, ny
eow: thursday, december 22,1864,cause of death: gunfire,gunfire,1864-12-22,1864,False,nueces county sheriff's office, tx
eow: thursday, december 29,1864,cause of death: duty related illness,duty related illness,1864-12-29,1864,False,jefferson county sheriff's department, wa
eow: tuesday, january 10,1865,cause of death: gunfire,gunfire,1865-01-10,1865,False,buffalo police department, ny
eow: thursday, january 19,1865,cause of death: stabbed,stabbed,1865-01-19,1865,False,ohio department of rehabilitation and correction, oh
eow: wednesday, february 22,1865,cause of death: gunfire,gunfire,1865-02-22,1865,False,memphis police department, tn
eow: monday, may 1,1865,cause of death: gunfire,gunfire,1865-05-01,1865,False,umatilla county sheriff's department, or
eow: wednesday, may 3,1865,cause of death: gunfire,gunfire,1865-05-03,1865,False,yuma county sheriff's department, az
eow: monday, july 31,1865,cause of death: gunfire,gunfire,1865-07-31,1865,False,dekalb county sheriff's office, mo
eow: tuesday, august 15,1865,cause of death: gunfire,gunfire,1865-08-15,1865,False,new york metropolitan police force, ny
eow: saturday, september 16,1865,cause of death: gunfire,gunfire,1865-09-16,1865,False,suspension bridge village police department, ny
eow: thursday, october 5,1865,cause of death: gunfire,gunfire,1865-10-05,1865,False,cedar county sheriff's office, mo
eow: friday, february 9,1866,cause of death: assault,assault,1866-02-09,1866,False,shelby county sheriff's office, oh
eow: thursday, february 15,1866,cause of death: gunfire,gunfire,1866-02-15,1866,False,santa clara county sheriff's office, ca
eow: thursday, march 1,1866,cause of death: gunfire,gunfire,1866-03-01,1866,False,lincoln county sheriff's office, nv
eow: thursday, march 1,1866,cause of death: gunfire,gunfire,1866-03-01,1866,False,memphis police department, tn
eow: tuesday, may 1,1866,cause of death: gunfire,gunfire,1866-05-01,1866,False,memphis police department, tn
eow: tuesday, may 8,1866,cause of death: stabbed,stabbed,1866-05-08,1866,False,leavenworth police department, ks
eow: saturday, may 19,1866,cause of death: gunfire,gunfire,1866-05-19,1866,False,angelina county sheriff's office, tx
eow: monday, may 21,1866,cause of death: gunfire,gunfire,1866-05-21,1866,False,quincy police department, fl
eow: wednesday, june 13,1866,cause of death: gunfire,gunfire,1866-06-13,1866,False,jackson county sheriff's office, mo
eow: thursday, june 21,1866,cause of death: assault,assault,1866-06-21,1866,False,storey county sheriff's office, nv
eow: friday, june 29,1866,cause of death: gunfire,gunfire,1866-06-29,1866,False,texas rangers, tx
eow: wednesday, july 4,1866,cause of death: gunfire,gunfire,1866-07-04,1866,False,morrisania police department, ny
eow: tuesday, july 10,1866,cause of death: gunfire,gunfire,1866-07-10,1866,False,fremont county sheriff's department, ia
eow: friday, august 17,1866,cause of death: gunfire,gunfire,1866-08-17,1866,False,omaha police department, ne
eow: tuesday, october 9,1866,cause of death: gunfire,gunfire,1866-10-09,1866,False,brooklyn police department, ny
eow: wednesday, october 10,1866,cause of death: assault,assault,1866-10-10,1866,False,hagerstown police department, md
eow: sunday, november 18,1866,cause of death: assault,assault,1866-11-18,1866,False,united states department of justice - united states marshals service, us
eow: wednesday, december 12,1866,cause of death: gunfire,gunfire,1866-12-12,1866,False,ogden police department, ks
eow: tuesday, december 18,1866,cause of death: gunfire,gunfire,1866-12-18,1866,False,victoria police department, tx
eow: monday, february 18,1867,cause of death: gunfire,gunfire,1867-02-18,1867,False,spokane county sheriff's department, wa
eow: friday, march 1,1867,cause of death: gunfire,gunfire,1867-03-01,1867,False,lamar county sheriff's department, tx
eow: tuesday, march 26,1867,cause of death: gunfire,gunfire,1867-03-26,1867,False,vernon county sheriff's department, mo
eow: tuesday, april 23,1867,cause of death: gunfire,gunfire,1867-04-23,1867,False,memphis police department, tn
eow: thursday, may 23,1867,cause of death: gunfire,gunfire,1867-05-23,1867,False,ray county sheriff's department, mo
eow: thursday, may 23,1867,cause of death: gunfire,gunfire,1867-05-23,1867,False,jack county sheriff's department, tx
eow: tuesday, june 4,1867,cause of death: gunfire,gunfire,1867-06-04,1867,False,memphis police department, tn
eow: wednesday, july 31,1867,cause of death: gunfire,gunfire,1867-07-31,1867,False,mcnairy county sheriff's department, tn
eow: thursday, august 8,1867,cause of death: gunfire,gunfire,1867-08-08,1867,False,portland police bureau, or
eow: saturday, august 31,1867,cause of death: gunfire,gunfire,1867-08-31,1867,False,ophir city constable's office, nv
eow: thursday, september 5,1867,cause of death: gunfire,gunfire,1867-09-05,1867,False,the dalles police department, or
eow: wednesday, september 11,1867,cause of death: gunfire,gunfire,1867-09-11,1867,False,farmington marshal's office, ia
eow: thursday, september 26,1867,cause of death: stabbed,stabbed,1867-09-26,1867,False,san antonio police department, tx
eow: saturday, october 19,1867,cause of death: stabbed,stabbed,1867-10-19,1867,False,new york metropolitan police force, ny
eow: wednesday, october 23,1867,cause of death: gunfire,gunfire,1867-10-23,1867,False,oakland police department, ca
eow: sunday, december 1,1867,cause of death: stabbed,stabbed,1867-12-01,1867,False,new york metropolitan police force, ny
eow: thursday, december 12,1867,cause of death: gunfire,gunfire,1867-12-12,1867,False,kalamazoo county sheriff's department, mi
eow: tuesday, december 17,1867,cause of death: gunfire,gunfire,1867-12-17,1867,False,ormsby county sheriff's office, nv
eow: monday, december 23,1867,cause of death: gunfire,gunfire,1867-12-23,1867,False,haverhill police department, ma
eow: tuesday, december 31,1867,cause of death: gunfire,gunfire,1867-12-31,1867,False,memphis police department, tn
eow: wednesday, january 1,1868,cause of death: gunfire,gunfire,1868-01-01,1868,False,knoxville police department, tn
eow: saturday, february 22,1868,cause of death: gunfire,gunfire,1868-02-22,1868,False,mattoon police department, il
eow: thursday, february 27,1868,cause of death: heart attack,heart attack,1868-02-27,1868,False,reading police department, pa
eow: friday, march 13,1868,cause of death: gunfire,gunfire,1868-03-13,1868,False,memphis police department, tn
eow: tuesday, march 17,1868,cause of death: stabbed,stabbed,1868-03-17,1868,False,trinity county sheriff's department, ca
eow: saturday, april 18,1868,cause of death: gunfire,gunfire,1868-04-18,1868,False,capital police district, ny
eow: tuesday, june 2,1868,cause of death: gunfire,gunfire,1868-06-02,1868,False,marysville police department, ca
eow: friday, june 12,1868,cause of death: gunfire,gunfire,1868-06-12,1868,False,memphis police department, tn
eow: tuesday, june 16,1868,cause of death: gunfire,gunfire,1868-06-16,1868,False,st. louis metropolitan police department, mo
eow: wednesday, june 24,1868,cause of death: gunfire,gunfire,1868-06-24,1868,False,ranchos de albuquerque constable's office, nm
eow: monday, july 13,1868,cause of death: drowned,drowned,1868-07-13,1868,False,new york metropolitan police force, ny
